Index,Number of Dates,Start,End,
ARGENTINA(ARGENTINA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
AUSTRALIA(AUSTRALIA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
AUSTRIA(AUSTRIA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
BELGIUM(BELGIUM)[Asia/Pacific],1993,31-May-02,19-Jan-10,
BRAZIL(BRAZIL)[Asia/Pacific],1993,31-May-02,19-Jan-10,
CANADA(CANADA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
CHILE(CHILE)[Asia/Pacific],1993,31-May-02,19-Jan-10,
CHINA(CHINA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
COLOMBIA(COLOMBIA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
CZECH REPUBLIC(CZECH REPUBLIC)[Asia/Pacific],1993,31-May-02,19-Jan-10,
DENMARK(DENMARK)[Asia/Pacific],1993,31-May-02,19-Jan-10,
EGYPT(EGYPT)[Asia/Pacific],1993,31-May-02,19-Jan-10,
FINLAND(FINLAND)[Asia/Pacific],1993,31-May-02,19-Jan-10,
FRANCE(FRANCE)[Asia/Pacific],1993,31-May-02,19-Jan-10,
GERMANY(GERMANY)[Asia/Pacific],1993,31-May-02,19-Jan-10,
GREECE(GREECE)[Asia/Pacific],1993,31-May-02,19-Jan-10,
HONG KONG(HONG KONG)[Asia/Pacific],1993,31-May-02,19-Jan-10,
HUNGARY(HUNGARY)[Asia/Pacific],1993,31-May-02,19-Jan-10,
INDIA(INDIA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
INDONESIA(INDONESIA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
IRELAND(IRELAND)[Asia/Pacific],1993,31-May-02,19-Jan-10,
ISRAEL(ISRAEL)[Asia/Pacific],1993,31-May-02,19-Jan-10,
ITALY(ITALY)[Asia/Pacific],1993,31-May-02,19-Jan-10,
JAPAN(JAPAN)[Asia/Pacific],1993,31-May-02,19-Jan-10,
JORDAN(JORDAN)[Asia/Pacific],1993,31-May-02,19-Jan-10,
KOREA(KOREA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
MALAYSIA(MALAYSIA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
MEXICO(MEXICO)[Asia/Pacific],1993,31-May-02,19-Jan-10,
MOROCCO(MOROCCO)[Asia/Pacific],1993,31-May-02,19-Jan-10,
NETHERLANDS(NETHERLANDS)[Asia/Pacific],1993,31-May-02,19-Jan-10,
NEW ZEALAND(NEW ZEALAND)[Asia/Pacific],1993,31-May-02,19-Jan-10,
NORWAY(NORWAY)[Asia/Pacific],1993,31-May-02,19-Jan-10,
PAKISTAN(PAKISTAN)[Asia/Pacific],1993,31-May-02,19-Jan-10,
PERU(PERU)[Asia/Pacific],1993,31-May-02,19-Jan-10,
PHILIPPINES(PHILIPPINES)[Asia/Pacific],1993,31-May-02,19-Jan-10,
POLAND(POLAND)[Asia/Pacific],1993,31-May-02,19-Jan-10,
PORTUGAL(PORTUGAL)[Asia/Pacific],1993,31-May-02,19-Jan-10,
RUSSIA(RUSSIA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
SINGAPORE(SINGAPORE)[Asia/Pacific],1993,31-May-02,19-Jan-10,
SOUTH AFRICA(SOUTH AFRICA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
SPAIN(SPAIN)[Asia/Pacific],1993,31-May-02,19-Jan-10,
SWEDEN(SWEDEN)[Asia/Pacific],1993,31-May-02,19-Jan-10,
SWITZERLAND(SWITZERLAND)[Asia/Pacific],1993,31-May-02,19-Jan-10,
TAIWAN(TAIWAN)[Asia/Pacific],1993,31-May-02,19-Jan-10,
THAILAND(THAILAND)[Asia/Pacific],1993,31-May-02,19-Jan-10,
TURKEY(TURKEY)[Asia/Pacific],1993,31-May-02,19-Jan-10,
UNITED KINGDOM(UNITED KINGDOM)[Asia/Pacific],1993,31-May-02,19-Jan-10,
USA(USA)[Asia/Pacific],1993,31-May-02,19-Jan-10,
CROATIA(CROATIA)[Asia/Pacific],1992,3-Jun-02,19-Jan-10,
ESTONIA(ESTONIA)[Asia/Pacific],1992,3-Jun-02,19-Jan-10,
KENYA(KENYA)[Asia/Pacific],1992,3-Jun-02,19-Jan-10,
LEBANON(LEBANON)[Asia/Pacific],1992,3-Jun-02,19-Jan-10,
MAURITIUS(MAURITIUS)[Asia/Pacific],1992,3-Jun-02,19-Jan-10,
NIGERIA(NIGERIA)[Asia/Pacific],1992,3-Jun-02,19-Jan-10,
SLOVENIA(SLOVENIA)[Asia/Pacific],1992,3-Jun-02,19-Jan-10,
SRI LANKA(SRI LANKA)[Asia/Pacific],1975,26-Jun-02,19-Jan-10,
TUNISIA(TUNISIA)[Asia/Pacific],1471,1-Jun-04,19-Jan-10,
BAHRAIN(BAHRAIN)[Asia/Pacific],1210,1-Jun-05,19-Jan-10,
BULGARIA(BULGARIA)[Asia/Pacific],1210,1-Jun-05,19-Jan-10,
KUWAIT(KUWAIT)[Asia/Pacific],1210,1-Jun-05,19-Jan-10,
OMAN(OMAN)[Asia/Pacific],1210,1-Jun-05,19-Jan-10,
QATAR(QATAR)[Asia/Pacific],1210,1-Jun-05,19-Jan-10,
UNITED ARAB EMIRATES(UNITED ARAB EMIRATES)[Asia/Pacific],1210,1-Jun-05,19-Jan-10,
KAZAKHSTAN(KAZAKHSTAN)[Asia/Pacific],1079,1-Dec-05,19-Jan-10,
ROMANIA(ROMANIA)[Asia/Pacific],1079,1-Dec-05,19-Jan-10,
UKRAINE(UKRAINE)[Asia/Pacific],949,1-Jun-06,19-Jan-10,
VIETNAM(VIETNAM)[Asia/Pacific],818,1-Dec-06,19-Jan-10,
SAUDI ARABIA(SAUDI ARABIA)[Asia/Pacific],783,1-Jun-05,30-May-08,moved into bkp
LITHUANIA(LITHUANIA)[Asia/Pacific],427,2-Jun-08,19-Jan-10,
SERBIA(SERBIA)[Asia/Pacific],427,2-Jun-08,19-Jan-10,
BOTSWANA(BOTSWANA)[Asia/Pacific],300,26-Nov-08,19-Jan-10,
GHANA(GHANA)[Asia/Pacific],300,26-Nov-08,19-Jan-10,
JAMAICA(JAMAICA)[Asia/Pacific],300,26-Nov-08,19-Jan-10,
TRINIDAD AND TOBAGO(TRINIDAD AND TOBAGO)[Asia/Pacific],300,26-Nov-08,19-Jan-10,
